COLOR CODE,COLOR NAME,HEX VALUE
L236,HMI (to Tungsten),#FAC795
L604,Full CT Eight Five,#FFC295
L651,HI Sodium,#FF9B5F
L017,Surprise Peach,#E68C64
L134,Golden Amber,#FAA873
L147,Apricot,#FCB98C
L776,Nectarine,#FCBE9B
L773,Cardbox Amber,#FCC5B2
L108,English Rose,#FCBEA9
L008,Dark Salmon,#FC9B80
L779,Bastard Pink,#FC9885
L158,Deep Orange,#FF8700
L021,Gold Amber,#FF8C32
L778,Millennium Gold,#FF7600
L780,AS Golden Amber,#FF6F00
L022,Dark Amber,#FF6900
L135,Deep Golden Amber,#FF5F00
L781,Terry Red,#FF5000
L025,Sunset Red,#FF6E46
L507,Madge,#F85000
L019,Fire,#FF4600
L164,Flame Red,#FF3200
L182,Light Red,#F50000
L106,Primary Red,#F00032
L789,Blood Red,#AA3C32
L787,Marius Red,#B9003C
L027,Medium Red,#C8003C
L029,Plasa Red,#E1003C
L026,Bright Red,#E6003C
L024,Scarlet,#FF5A64
L157,Pink,#FF92A3
L107,Light Rose,#FFA5AF
L109,Light Salmon,#FFB2AF
L176,Loving Amber,#FFAAA0
L790,Moroccan Pink,#FFB4A5
L036,Medium Pink,#FFA0B9
L192,Flesh Pink,#FF8CB4
L111,Dark Pink,#FF8CBE
L794,Pretty 'n Pink,#FFAFDC
L002,Rose Pink,#FF78DC
L328,Follies Pink,#FF64C8
L795,Magical Magenta,#FA46C8
L128,Bright Pink,#FF50B4
L793,Vanity Fair,#FF3CA0
L332,Special Rose Pink,#FF3787
L148,Bright Rose,#FF507D
L046,Dark Magenta,#DC005A
L113,Magenta,#FF0064
L127,Smokey Pink,#E16273
L748,Seedy Pink,#E96785
L110,Middle Rose,#FFB4C8
L247,LEE Minus Green,#FAC3D7
L035,Light Pink,#FFC8D2
L153,Pale Salmon,#FFC8C8
L004,Medium Bastard Amber,#FFC8B4
L151,Gold Tint,#FFCDC3
L154,Pale Rose,#FFD5CF
L248,Half Minus Green,#FFE2E4
L249,Quarter Minus Green,#FFECF0
L279,Eighth Minus Green,#FFF3F7
L003,Lavender Tint,#FAF0FA
L218,Eighth CTB,#F5FFFF
L278,Eighth Plus Green,#F3FFF3
L159,No Colour Straw,#FFFAEB
L223,Eighth CTO,#FFF3E8
L444,Eighth CT Straw,#FAF3E8
L602,Platinum,#a5a5aa
L603,Moonlight White,#c8cdcd
L130,Clear,#FFFFFF
